#Clutter

// ------------------------------------------------
// Kava New - Goober
// ------------------------------------------------


//$Class Name:           "Mesh Test"
//$V3D Filename:         "meshtest.v3d"
//$Material:             "rock"
//$Life:                 -1
//$Flags:                ("collide_object")
//$RFE Level1:	       "Kava"

$Explode Anim:         "beerbottleboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"

$Class Name:           "coffee mug01"
$V3D Filename:         "mug1.V3D"
$Debris Filename:      "mug_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 1
$Explode Anim:         "genericsmallboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"

$Class Name:           "coffee mug02"
$V3D Filename:         "mug2.V3D"
$Debris Filename:      "mug_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 1
$Explode Anim:         "genericsmallboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"

$Class Name:           "Pillow1"
$V3D Filename:         "pillow1.V3D"
$Material:             "solid"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Books1"
$V3D Filename:         "books1.V3D"
$Material:             "solid"
$Life:                 1
$Use Sound:            "Use Book"
$Flags:                ("collide_object")
$Use:                  "play_sound"
	+radius:            2.0
$RFE Level1:           "Misc"

$Class Name:           "Books2"
$V3D Filename:         "books2.V3D"
$Material:             "solid"
$Life:                 1
$Use Sound:            "Use Book"
$Flags:                ("collide_object")
$Use:                  "play_sound"
	+radius:            2.0
$RFE Level1:           "Misc"

$Class Name:           "Bones"
$V3D Filename:         "bones1.V3D"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Cafeteria Tray"
$V3D Filename:         "cafetray1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Clipboard"
$V3D Filename:         "clipboard1.V3D"
$Debris Filename:      "clipboard_debris.v3d"
$Material:             "wood"
$Life:                 1
$Flags:                ("collide_object" "can_carry")
$RFE Level1:           "Misc"

$Class Name:           "Robot Part1"
$V3D Filename:         "robotpart1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Robot Part2"
$V3D Filename:         "robotpart2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Robot Part3"
$V3D Filename:         "robotpart3.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Robot Part4"
$V3D Filename:         "robotpart4.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Shower Head"
$V3D Filename:         "showerhead1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Luggage1"
$V3D Filename:         "luggage1.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 400
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"energy"							0.0
$Explode Anim:         "Tin Hit Sound"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Misc"

$Class Name:           "Trash Can1"
$V3D Filename:         "trashcan1.V3D"
$Debris Filename:      "trash_debris.V3D"
$Debris Sound Set:	  "large debris bounce"
$Material:             "metal"
$Life:                 300
$Flags:                ("collide_object")
$Debris Velocity:	  	  2
$RFE Level1:           "Misc"

$Class Name:           "Trash Can2"
$V3D Filename:         "trashcan2.V3D"
$Debris Filename:      "trash_debris.v3d"
$Debris Sound Set:	  "large debris bounce"
$Material:             "metal"
$Life:                 300
$Flags:                ("collide_object")
$Debris Velocity:	  	  2
$RFE Level1:           "Misc"

$Class Name:           "pencil"
$V3D Filename:         "pencil1.V3D"
$Material:             "solid"
$Life:                 10
$Explode Anim:         "beerbottleboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"

$Class Name:           "Space Phone"
$V3D Filename:         "spacephone1.V3D"
$Material:             "metal"
$Life:                 40
$Flags:                ("collide_object")
$RFE Level1:           "Misc"
// $Skin:                 "Broken2"         ("spacephone2.tga")
// $Skin:                 "Broken3"          ("spacephone3.tga")

$Class Name:            "Mop"
$V3D Filename:         "mop1.V3D"
$Debris Filename:      "mop_debris.v3d"
$Material:             "solid"
$Life:                 10
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Bucket"
$V3D Filename:         "bucket1.V3D"
$Debris Filename:      "bucket_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "metal"
$Life:                 40
$Flags:                ("collide_object")
$Debris Velocity:	     5
$RFE Level1:           "Misc"

$Class Name:           "Cardboard Box"
$V3D Filename:         "cardboardbox1.V3D"
$Debris Filename:      "cardboard_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 80
$Explode Anim:         "crateboom"
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Misc"

$Class Name:           "Wall_Calendar1"
$V3D Filename:         "wallcal1.V3D"
$Material:             "solid"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Paper1"
$V3D Filename:         "paper1.V3D"
$Material:             "solid"
$Life:                 1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Paper2"
$V3D Filename:         "paper2.V3D"
$Material:             "solid"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Paper3"
$V3D Filename:         "paper3.V3D"
$Material:             "solid"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Watercooler"
$V3D Filename:         "watercooler1.V3D"
$Debris Filename:      "watercooler_debris.v3d"
$Material:             "glass"
$Life:                 210
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Debris Velocity:      2
$Use Sound:            "Use Water Cooler"
$Use:                  "play_sound"
	+radius:            2.0
$RFE Level1:           "Misc"

$Class Name:           "Cooking Pan"
$V3D Filename:         "pan1.V3D"
$Debris Filename:      "pan_debris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Cooking Pot"
$V3D Filename:         "pot1.V3D"
$Debris Filename:      "pot_debris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Vehicle Part 2"
$V3D Filename:         "vehiclepart2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Wall_Calendar2"
$V3D Filename:         "wallcal2.V3D"
$Material:             "solid"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Elevator Indicator"
$V3D Filename:         "elevatorbutton2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Tool1"
$V3D Filename:         "tools1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Tool2"
$V3D Filename:         "tools2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Tool3"
$V3D Filename:         "tools3.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Body Bag"
$V3D Filename:         "bodybag1.V3D"
$Material:             "flesh"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Bag of Chow"
$V3D Filename:         "bagofchow1.V3D"
$Material:             "flesh"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Escape Pod"
$V3D Filename:         "escapepod.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "BustedEscapePod"
$V3D Filename:         "BustedEscapePod.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "Reeper Skeleton"
$V3D Filename:         "reeperskel1.V3D"
$Material:             "rock"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Clock"
$V3D Filename:         "clock01.V3D"
$Debris Filename:      "clock01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "glass"
$Life:                 10
//$Sound:                "Tick"
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .1
$Flags:                ("collide_object" "is_clock")
$Debris Velocity:	  	  .5
$RFE Level1:           "Misc"

$Class Name:           "camerabase"
$V3D Filename:         "camerabase1.v3d"
$Material:             "metal"
$Life:                 50
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "Transport01_Tmp"
$V3D Filename:         "Torpedo01.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Misc"

$Class Name:           "riot_shield"
$V3D Filename:         "Weapon_RiotShield.v3d"
$Material:             "solid"
$Life:                 1250
$Flags:                ("collide_object" "collide_weapon")
$RFE Level1:           "Misc"

$Class Name:           "Syringe"
$V3D Filename:         "syringe1.v3d"
$Material:             "metal"
$Life:                 50
$Flags:                ("can_carry")
$RFE Level1:           "Misc"

$Class Name:           "Welding Torch"
$V3D Filename:         "welder1.v3d"
$Material:             "metal"
$Life:                 50
$Flags:                ("can_carry")
$RFE Level1:           "Misc"

// ------------------------------------------------
// Office Stuff
// ------------------------------------------------

//Goober note: moved steelcan to office stuff section where it belongs. Was up in misc
$Class Name:           "steelcan"
$V3D Filename:         "SteelTrashCan.V3D"
$Debris Filename:      "screen_debris.V3D"
$Debris Sound Set:     "Tin Hit"
$Material:             "metal"
$Life:                 90
$Explode Anim:         "Tin Hit Sound"
$Explode Anim Radius:  .1
$Flags:                ("collide_object")
$Debris Velocity:      1
$RFE Level1:           "Office Stuff"

$Class Name:           "inout_box"
$V3D Filename:         "inout_box.V3D"
$Debris Filename:      "screen_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Flags:                ("collide_object")
$RFE Level1:           "Office Stuff"

$Class Name:           "officelamp"
$V3D Filename:         "officelamp.V3D"
$Debris Filename:      "screen_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 20
$Glare:					"officelampglare"
$Flags:                ("collide_object")
$RFE Level1:           "Office Stuff"

$Class Name:           "Waste Basket"
$V3D Filename:         "wastebasket1.V3D"
$Debris Filename:      "wastebasket1.V3D"
$Debris Sound Set:     "Tin Hit"
$Material:             "metal"
$Life:                 10
$Explode Anim:         "Tin Hit Sound"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Debris Velocity:      6
$RFE Level1:           "Office Stuff"

$Class Name:           "Office Picture1"
$V3D Filename:         "portrait1.V3D"
$Debris Filename:      "portrait_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:             "rock"
$Life:                 10
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Office Stuff"

$Class Name:           "Office Picture2"
$V3D Filename:         "portrait2.V3D"
$Debris Filename:      "portrait_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:             "rock"
$Life:                 10
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Office Stuff"

$Class Name:           "Ashtray1"
$V3D Filename:         "ashtray1.V3D"
$Debris Filename:	     "ashtray_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 10
$Flags:                ("collide_object")
$RFE Level1:           "Office Stuff"

$Class Name:           "Mini Fridge"
$V3D Filename:         "minifridge1.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Corpse Class Name:    "minifridge_corpse"
$Material:             "metal"
$Life:                 200
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .3
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Office Stuff"

$Class Name:           "minifridge_corpse"
$V3D Filename:         "minifridge_corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Office Stuff"

$Class Name:           "Microwave"
$V3D Filename:         "microwave1.V3D"
$Debris Filename:      "microwave_debris.V3D"
$Material:             "metal"
$Life:                 145
$Use Sound:            "Use Microwave"
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Use:                  "play_sound"
	+radius:            2.0
$Debris Velocity:      2
$RFE Level1:           "Office Stuff"

$Class Name:           "Plate1"
$V3D Filename:         "plate1.V3D"
$Material:             "solid"
$Life:                 10
$Flags:                ("collide_object")
$RFE Level1:           "Office Stuff"

$Class Name:           "Name Plate3"
$V3D Filename:         "nameplate3.V3D"
$Debris Filename:      "mug_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 10
$Flags:                ("collide_object")
$Debris Velocity:	  	  2
$RFE Level1:           "Office Stuff"

$Class Name:           "Water Fountain"
$V3D Filename:         "waterfountain1.V3D"
$Debris Filename:	     "waterfount_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:             "rock"
$Life:                 190
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .6
$Flags:                ("collide_object")
$RFE Level1:           "Office Stuff"


// ------------------------------------------------
// Screens
// ------------------------------------------------

$Class Name:           "screenhen7"
$V3D Filename:         "screenhenbig3.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "screenhen6"
$V3D Filename:         "screenhenbig2.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "screenhen5"
$V3D Filename:         "screenhenbig1.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "screenhen4"
$V3D Filename:         "screen_hensmall4.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "screenhen3"
$V3D Filename:         "screen_hensmall3.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "screenhen2"
$V3D Filename:         "screen_hen2.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "screenhen1"
$V3D Filename:         "screen_hen1.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "medscreen01"
$V3D Filename:         "medtv01.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:      1.5
$RFE Level1:           "Screens"

$Class Name:           "Mirror01"
$V3D Filename:         "mirror01.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  0.5
$Flags:                ("is_screen" "collide_object")
$Screen Width:         128
$Screen Height:        128
$Debris Velocity:      1
$RFE Level1:           "Screens"

$Class Name:           "smallscreen"
$V3D Filename:         "smallscreen01.V3D"
$Debris Filename:      "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  0.5
$Flags:                ("is_screen" "collide_object")
$Use:                   "monitor"
	+radius:             2.5
$Debris Velocity:      1
$RFE Level1:           "Screens"

$Class Name:           "medscreen02"
$V3D Filename:         "medtv02.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  0.5
$Flags:                ("collide_object")
$Use:                   "monitor"
	+radius:             2.5
$Debris Velocity:      1
$RFE Level1:           "Screens"

$Class Name:           "Screen03"
$V3D Filename:         "monitor01.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "screenboom"
$Explode Anim Radius:  0.5
$Flags:                ("is_screen" "collide_object")
$Screen Width:         128
$Screen Height:        128
//$Use:                   "monitor"
//	+radius:             2.5
$Debris Velocity:      1
$RFE Level1:           "Screens"

$Class Name:           "CommScreen"
$V3D Filename:         "CommScreen.V3D"
$Debris Filename:		  "screen_debris.v3d"
$Material:             "glass"
$Life:                 30
$Explode Anim:         "yellboom"
$Explode Anim Radius:  1
$Flags:                ("is_screen" "collide_object")
$Use:                   "monitor"
	+radius:             2.5
$Debris Velocity:      1
$RFE Level1:           "Screens"
$Skin: 		       "Static01" ("ComScreen01.tga")
$Skin: 		       "Static02" ("ComScreen02.tga")
$Skin: 		       "Animated01" ("ComAnim01.vbm")
$Skin: 		       "Animated01" ("ComAnim02.vbm")


// ------------------------------------------------
// Structural
// ------------------------------------------------

$Class Name:           "lightsupport"
$V3D Filename:         "hanginglitesupport.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "gatsmoke"
$Flags:                ("has_alpha" "collide_object")
$Debris Velocity:      1
$RFE Level1:           "Structural"

$Class Name:           "grate"
$V3D Filename:         "grate.V3D"
$Debris Filename:      "grate_debris.v3d"
$Material:             "metal"
$Life:                 30
$Explode Anim:         "grate break"
$Flags:                ("collide_object")
$Debris Velocity:      1
$RFE Level1:           "Structural"

$Class Name:           "Duct Grate Cover"
$V3D Filename:         "grateduct1.V3D"
$Material:             "metal"
$Life:                 30
$Explode Anim:         "grate break"
$Flags:                ("collide_object")
$Debris Velocity:      1
$RFE Level1:           "Structural"

$Class Name:           "I-Beam"
$V3D Filename:         "I-Beam01.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Structural"

$Class Name:           "pylon01"
$V3D Filename:         "pylon01.v3d"
$Corpse Class Name:    "pylon01 corpse"
$Material:             "rock"
$Life:                 100
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Flags:                ("collide_object")
$RFE Level1:           "Structural"

$Class Name:           "pylon01 corpse"
$V3D Filename:         "pylon01_corpse.v3d"
$Emitter:              "pylon smoke"
$Emitter Life:         10.0
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Structural"

// ------------------------------------------------
// Tools
// ------------------------------------------------

$Class Name:           "weldingequip"
$V3D Filename:         "weldingequip1.V3D"
$Material:             "metal"
$Life:                 100
$Damage Type Factor:   "bash"                      0.0
$Explode Anim:         "objectboom3"
$Explode Anim Radius:  3
$Flags:                ("collide_object")
$RFE Level1:           "Tools"


$Class Name:           "bigtoolbox"
$V3D Filename:         "bigtoolbox.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Corpse Class Name:    "bigtoolcorpse"
$Material:             "metal"
$Life:                 180
$Damage Type Factor:   "bash"                      0.0
$Damage Type Factor:   "bullet"					   0.0	
$Damage Type Factor:   "fire"                      0.0
$Explode Anim:         "Grate Break"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Debris Velocity:      2.3
$RFE Level1:           "Tools"

$Class Name:           "bigtoolcorpse"
$V3D Filename:         "bigtoolbox_corpse.V3D"
$Emitter:              "bigtoolbox"
$Emitter Life:         10.0
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Tools"

$Class Name:      "Miner Tool 2"
$V3D Filename:    "minertool2.V3D"
$Material:        "metal"
$Life:            40
$Flags:           ("collide_object" "can_carry")
$RFE Level1:           "Tools"

$Class Name:			  "Fire Extinguisher"
$V3D Filename:			  "firextinguisher1.V3D"
$Debris Filename:	     "firext_debris.v3d"
$Debris Sound Set:     "small debris bounce"
$Material:				  "metal"
$Life:					  80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .4
$Flags:                ("collide_object" "can_carry")
$RFE Level1:           "Tools"

// ------------------------------------------------
// Natural
// ------------------------------------------------

	// ------------------------------------------------
	// Natural -> Plants
	// ------------------------------------------------

	$Class Name:           "danglingplant1"
	$V3D Filename:         "veg_dangling1.V3D"
	$Material:             "flesh"
	$Life:                 20
    $Flags:                ("has_alpha")
	$RFE Level1:           "Natural"
	$RFE Level2:           "Plants"

	$Class Name:           "waterplant01"
	$V3D Filename:         "waterplants01.VFX"
	$Material:             "flesh"
	$Life:                 20
    $Flags:                ("has_alpha")
	$RFE Level1:           "Natural"
	$RFE Level2:           "Plants"

	$Class Name:           "Veg_FernLeaf01"
	$V3D Filename:         "Veg_FernLeaf01.V3D"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
	$RFE Level1:           "Natural"
	$RFE Level2:           "Plants"

	$Class Name:           "Veg_Plant01"
	$V3D Filename:         "Veg_Plant01.v3d"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	$Class Name:           "Veg_Plant02"
	$V3D Filename:         "Veg_Plant02.v3d"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	$Class Name:           "Potted Plant01"
	$V3D Filename:         "pottedplant01.v3d"
	$Debris Filename:	     "genericlight01_debris.V3D"
	$Debris Sound Set:     "small debris bounce"
	$Material:             "rock"
	$Life:                 80
	$Explode Anim:         "Glass Explode_B"
	$Explode Anim Radius:  1
	$Flags:                ("has_alpha" "collide_object")
	$Debris Velocity:      3.6
   $RFE Level1:          "Natural"
   $RFE Level2:          "Plants"

	$Class Name:           "Potted Plant02"
	$V3D Filename:         "pottedplant02.v3d"
	$Debris Filename:	     "pottedplant02_debris.v3d"
	$Debris Sound Set:     "small debris bounce"
	$Material:             "rock"
	$Life:                 80
	$Explode Anim:         "Glass Explode_B"
	$Explode Anim Radius:  1
	$Flags:					  ("collide_object")
	$Debris Velocity:      3.6
	$RFE Level1:           "Natural"
   $RFE Level2:           "Plants"

	$Class Name:           "Potted Plant03"
	$V3D Filename:         "pottedplant03.v3d"
	$Debris Filename:	     "genericlight01_debris.V3D"
	$Debris Sound Set:     "small debris bounce"
	$Material:             "rock"
	$Life:                 80
	$Explode Anim:         "Glass Explode_B"
	$Explode Anim Radius:  1
	$Flags:                ("collide_object")
	$Debris Velocity:      1.6
   $RFE Level1:           "Natural"
   $RFE Level2:           "Plants"

	$Class Name:           "Potted Plant04"
	$V3D Filename:         "pottedplant04.v3d"
	$Debris Filename:	   "pottedplant04_debris.v3d"
	$Debris Sound Set:     "small debris bounce"
	$Material:             "rock"
	$Life:                 80
	$Explode Anim:         "Glass Explode_B"
	$Explode Anim Radius:  1
	$Flags:                ("collide_object")
	$Debris Velocity:      1.6
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	$Class Name:           "Veg_Bush01"
	$V3D Filename:         "Veg_Bush01.V3D"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	$Class Name:           "Veg_Bush02"
	$V3D Filename:         "Veg_Bush02.V3D"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	$Class Name:           "Veg_Tree01"
	$V3D Filename:         "Veg_Tree01.V3D"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	$Class Name:           "Tall Tree"
	$V3D Filename:         "talltree1.V3D"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	$Class Name:           "Vines"
	$V3D Filename:         "vines01.v3d"
	$Material:             "flesh"
	$Life:                 -1
	$Flags:                ("has_alpha")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Plants"

	// ------------------------------------------------
	// Natural - Rocks
	// ------------------------------------------------

	$Class Name:           "Shard 1"
	$V3D Filename:         "shard00.v3d"
	$Material:             "rock"
	$Life:                 4
	$Explode Anim:         "rock crumble"
	$Explode Anim Radius:  0.5
	$Flags:                ()
    $RFE Level1:           "Natural"
    $RFE Level2:           "Rocks"

	$Class Name:           "Shard 2"
	$V3D Filename:         "shard01.v3d"
	$Material:             "rock"
	$Life:                 4
	$Explode Anim:         "rock crumble"
	$Explode Anim Radius:  1
	$Flags:                ("collectable")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Rocks"

	$Class Name:           "Shard 3"
	$V3D Filename:         "shard02.v3d"
	$Material:             "rock"
	$Life:                 4
	$Explode Anim:         "rock crumble"
	$Explode Anim Radius:  1.5
	$Flags:                ("collectable")
    $RFE Level1:           "Natural"
    $RFE Level2:           "Rocks"

	$Class Name:           "Shard 4"
	$V3D Filename:         "shard03.v3d"
	$Material:             "rock"
	$Life:                 4
	$Explode Anim:         "rock crumble"
	$Explode Anim Radius:  2
	$Flags:                ()
    $RFE Level1:           "Natural"
    $RFE Level2:           "Rocks"

	$Class Name:           "Shard 5"
	$V3D Filename:         "shard04.v3d"
	$Material:             "rock"
	$Life:                 4
	$Explode Anim:         "rock crumble"
	$Explode Anim Radius:  2.5
	$Flags:                ()
    $RFE Level1:           "Natural"
    $RFE Level2:           "Rocks"

	$Class Name:           "Shard 6"
	$V3D Filename:         "shard05.v3d"
	$Material:             "rock"
	$Life:                 40
	$Explode Anim:         "rock crumble"
	$Explode Anim Radius:  3
	$Flags:                ()
    $RFE Level1:           "Natural"
    $RFE Level2:           "Rocks"

// ------------------------------------------------
// Storage
// ------------------------------------------------

$Class Name:           "nano_canister"
$V3D Filename:         "nanotech.v3d"
